,hasil
4546, maaf zul mungkin gw kudet boleh tau gedung apa yg di jual jkw di jakarta untuk biaya pindah ibu kota mungkin ente bisa jelasin detailnya ane kurang kuota soalnya buat update brita
4547, ibu kota kok pindah suruh aja dia memerintah dari smartphone kemarin dia yg ngomong dari smartphone segalanya bisa 
4548, setuju saya ibu kota pindah ke kalimantan sudah saatnya pemerataan pembangunan tidak hanya di pusatkan di jakarta saja 
4549,selain pindah ibu kota ke jonggol sejumlah berita menarik lainnya masuk dalam daftar yang paling banyak dibaca hari ini selengkapnya di sini 
4550, mikir gimana pindah ibu kota terealisasi mikirin duitnya dari mana sama aja lo disuruh ngurusin badan trus bilang caranya bagaimana ya lo mikir 
4551, mending fokus perbaikan pln fokus menghadapi krisis ekonomi fokus kebakaran hutan fokus pindah ibu kota fokus dg bencana dari pada ngurusin hal remeh temeh anda sendiri bikin besar gelombang kecil itu jadi sunami jangan dungu 
4552, pindah semua nanti ke gedung yg baru di ibu kota yg baru 
4553, jalan ke ragunan di ragunan banyak orang tua walopun ibu kota pindah ke kalimantan jakarta mah kampung gua 
4554,ini tanah air kita disini kita bukan turis dirgahayu indonesia ku kabarnya ibu kota mau pindah gapapa hatimu jangan wadidaw
4555,terserah ibu kota pindah tapi mohon perhatikan hal hal yang seperti ini kita gak mau flora fauna endemik punah jangan sampai anak cucu nonton orang utan dalam keadaan di awetkan dimuseum 
4556, kan yg pindah ibukotanya bukan warganya ibu kota baru juga udah ada penduduknya kali 
4557,sebaiknya dpr buka kesempatan bagi publik umum mempersoalkan apa urgensi pindah ibu kota dgn biaya rp trilliun bagaimana nasib gedung dpr mahkamah agung gedung pancasila bank indonesia dll 
4558, apa hubunganya sama batal pindah ibu kota bambank
4559,sandi ada yang untung jika ibu kota pindah 
4560, sudah banyak ibu kota pindah tetapi kota yg mantan ibukota tetap lebih maju contoh rio de janairo mantan ibu kota brazil tetap berkilau dan terkenal di banding ibu kota barunya brazil yg namanya brazil tidak dikenal orang 
4561, thn pura pura merdeka padahal leher rakyat tercekik krn terlilit hutang segera pindahkan ibu kota negara ini ke kalimantan supaya makin berlimpah hutang dan pembakaran hutan makin marak horeee ato pindah 
4562, kalo sampe ibu kota klean jadi pindah siap bentar lagi klen jadi rang kampong wkikikikikiki 
4563,kog govlok ya ngakak njir astajimmm pemindahan ibu kota warga jakarta kami betah tak mau pindah lewat 
4564,selain pindah ibu kota ke jonggol sejumlah berita menarik lainnya masuk dalam daftar yang paling banyak dibaca hari ini selengkapnya di sini 
4565, yang enak sendirinya pindah ibukota kalo jadi nih pindah ibu kota banjir polusi segala bencana gakan ada yg tanggung jawab boleh deh pa pindah ibu kota asal jangan ada pohon pun yang di tebang 
4566, jgn ngurusin pindah ibu kota aja urus ne anak anak miskin dn terlantar dr rahim ibu pertiwi 
4567,gue sebagai orang keturunan betawi lahir di jakarta dan sekarang ngampus di jakarta sangat setuju kalau ibu kota negara pindah ke kalimantan biar apa biar jakarta bisa menyembuhkan diri sendiri untuk kemudian fokus ke tujuan yang lebih hebat sebagai ibu kota perekonomian 
4568, yang pindah ibu kota itu ya 
4569, gini loh memang pindah ibu kota itu baik buat indonesia tpi kita harus tau juga bahwa ekonomi ind saat ini masih terpuruk dan aneh nya lagi kenapa uang nya gk dipake buat membenahi ekonomi indonesia dulu kenapa ngebet banget mau pindah ibu kota supaya namanya bisa di kenang gitu
4570,ibu kota pindah boleh tp ga usah ajak ajak lo sendiri saja sono 
4571,ada hashtag batalkan pindah ibu kota tapi isi tweetnya ngaco semua wkwkw 
4572, hahahah bukan ibumu yang pindah hahahha yang pindah itu ibu kota kwkwwkwk
4573,ibu kota indonesia di pindah aku pindah ko kasur we angel kok bee 
4574, pohon ibu kota bakalan pindah kemari lo orang hutan lah kita bakalan pindah kemana nih 
4575,sandi ada yang untung jika ibu kota pindah 
4576, hi hi hi jadi propinsi hok kian kali bagian negara tiongkok ong jakarta tuh karna ibu kota ajah terasa indonesia isi nya orang cines begitu ibu kota pindah ga lama terjadi perang antar triad mafia berebut wilayah kekuasaan kaya di film hongkong aja ha ha ha 
4577,asoy geboy ngebut dijalanan ibu kota mumpung blom pindah wkwkw
4578,gue pengen ibu kota pindah ke bandung biar nnti kalo ada konser artis luar negri deket gue nntonya dan yang pasti diijinin ortu 
4579, apa artinya pindah ibu kota bila kesejahteraan dan keadilan hanya milik golongan tertentu sejarah hanyalah sebuah cerita yg tiada arti masuk dari telinga kanan keluar ke telinga kiri
4580, hanya pengkhianat yang akan berani pindahkan ibukota negara ke kalimantan bukankah disana sudah banyak aseng 
4581,jakarta memang sudah padat gk salah juga mau pindah ibu kota tapi harus tau juga bahwa ekonomi indonesia saat ini masih buruk harus berfikir kedepannya juga dong pak mau di bawa ke mana ekonomi indonesia nantinya kenapa ngebet banget mau pindah ibu kota 
4582,gagal nyari untung di proyek reklamasi mo nyari peruntungan lewat ide pindah ibu kota kali ya 
4583, ya allah mbak pindah ibu kota bukan berarti banyak gedunh besar kalimantan tuh cm buat pusat pemerintahan aja tp pusat ekonominya ttp di jakarta ambil contoh washington dc sama new york
4584,sebenerya sdm ya yang perlu di ubah bukan malam ibu kota ya yang di pindah di pindah ibu kota ya pun kalu sdm ya tidak peduli dengan sekeliling ya sama aja kan pikir no pokir 
4585,jiminie batalkan pindah ibu kota ke virgo 
4586,hayuk mindah hidup 
4587, sopo seng ngajak ki lo yo sopo 
4588,lagi heboh warga facebook jempolnya berotot warga twitter tetep pikirannya yg ngotot buat tolak ibu kota pindah 
4589,kelompok jin ifritpun mulai beraksi mati suri kah kalian wahai aset dan ahok dipersiapkan untuk pindah ibu kota 
4590, alasan ibu kota pindah bukan karena rawan bencana aja bro melihat kondisi jakarta yg semakin padat macet rawan banjir yg juga menyebabkan kerugian pemindahan ibu kota pernah dilakukan di luar negri menjadikan negara nya lebih maju kenapa kita tidak mencontohnya
4591, ha elah hastag gini malah tranding presiden kta tidak bodoh asal²an ambil keputusan lagian kta sebagai masyarakat sisa mendkung programnya aja lagian kalaupun pindah ibu kota tapi kau tak mau denganku apa guna 
4592, betul bang gk s tuh klu ibukota pindah harap warga jakarta dan yg lain nya mempertahankn ibu kota indonesia q baru dengar di rejim ini ada yg sok kyasa pke mau mindahin ibu kota sgala
4593,sob sebelum ibu kota pindah bagi yg belum melihat gedung pemerintahan departemen kedubes negara sahabat dipersilahkan loh takutnya klu semua udah pindah ke kalimantan jauh kita untuk melihatnya 
4594,tl penuh dengan pro kontra ibu kota pindah dan pro kontra asep rokok 
4595,padahal mah ibu kota pindah ke cikarang kek atau babelan tambun dah tambun 
4596, yg diwawancara sprtnya member jkt sama gebleg ama yg didukung yg suruh lu ikut pindah siapa malihhhh pemindahan ibu kota warga jakarta kami betah tak mau pindah metro 
4597, ini kan menurut pak uno emang udah seharusnya pindah ibu kota wehh
4598,mau ibu kota pindah ato nda yg penting calon ibu dari anak kita tetap kamu iyaa kamuuu 
4599,kampanyenya siapa nih batalkan pindah ibu kota 
4600,pemerataan pembangunan bukan ibu kota nya yg d pindah namun kota nya yg d perindah 
4601,udahlaah ngapain sih ibu kota dipindah sana pindah sini kaya gaada kerjaan aja mending urusin rakyat ajaa masih banyak rakyat yang susah masih banyak rakyat yang menderita 
4602, pindah ibu kota bukan menjadi solusi untuk menata kota jakarta banyak hutan hutan asri pegunungan atau perbukitan bakal dibabat kesejahteraan rakyat pun tak semua merata negara malah asyik dengan hutang jikalau teralisasi 
4603,hutang negara sudah membengkak duit pindah ibu kota hutang lagi tergadai dah negeri ini 
4604, kalau ibu kota pindah emang fakyatnya mau di ajak ya engak lah 
4605,indonesia nak pindah ibu kota ada perancangan ekonomi negara mereka kita masih berbalah soal tulisan khat jawi mungkin dr maszlee dok fikir nak bagi sumber ekonomi kepada penggiat khat jawi di malaysia 
4606, tapi klo misalnya kantor² untuk rapat atau apa dewan daerah atau prumahan bagaimna takutnya banyak wrga yg pindah ke ibu kota takutnya bnyak yang mkir udh jadi ibu kota ini pasti klo investasi bagus takutnya kstu gk tau thun kdpan bgaimna
4607,ada pro kontra akan di pindahnya ibu kota ri yg penting ak ga pindah ke lain hati 
4608,stop pindah ibu kota masih kek gini bikin tambah susah rakyat 
4609,kalo pemikiran gua tentang ibu kota pindah karena beberapa orang petinggi pejabat ingin mengambil sumbet daya alam kalimantan yang kaya 
4610,kabar kabar negara ini sah untuk pindah ibu kota ke kalimantan di saat saat jakarta sedang mengalami banyak masalah terutama pada lingkungan sda nya 
4611, keputusan pindah ibu kota sebaiknya lewat referendum 
4612, bisa jadi untuk mengalihkan perhatian soal rencana pindah ibu kota 
4613,dari pada ngabis in duit buat pindah ibu kota mending bapak gunakan uangnya buat rakyat yang diluar sana masih kelaparan ga punya rumah ga punya pekerjaan miris masih banyak rakyat yang masih minta dijalanan apalagi anak 
4614,bentuk negara indonesia adalah negara kesatuan dan bentuk pemerintahan indonesia adalah republik ibu kota negara indonesia adalah jakarta otw pindah sih ke kalimantan
4615, ya masuk akan buat saja jadi hutan rimba biar ga d huni bani cingkrang toh ibu kota mau pindah 
4616, desas desus ibu kota mau pindah udh dr jaman presiden sby tau wkwk
4617, jakarta itu the world s fastest sinking city overcrowded heavily polluted flooded congested anies infrastruktur jakarta t akan dibangun lewat utang kaum yg itu oke jokowi ibu kota pindah dengan anggaran t kaum yg itu nfsnfskdfksfksd 
4618, itu judulnya sengaja di di bikin utk penggiringan opini bagi mereka yg tdk setuju ibu kota di pindah
4619,kalo ibu kota pindah gimana caranya bawa monas ke kalimantan 
4620,kalau ibu kota pindah ga sanggup gue jadi mantan lu jakarta 
4621, kalo ibu kota pindah apa daya gajian ku tak cukup buat beli tiket pesawat sekali mudik tiap lebaran fitri 
4622,bukankah banyak hal yang jauh lebih penting dari sekedar memikirkan pindah ibu kota bagaimana dengan hutang negara nasib anak anak bangsa yang kelaparan jalan jalan dan jembatan yang rusak dan masih banyak lagi 
4623,pindah ibu kota oesman sapta di kalimantan manapun terserah presiden 
4624,gak usa demo yg pindah itu ibu kota bukan orang nya 
4625, ibu kota negara pindah benar benar bikin ku salty mulu ga tau kenapa pokoknya gitu deh 
4626, anies infrastruktur jakarta t akan dibangun lewat utang kaum yg itu oke jokowi ibu kota pindah dengan anggaran t kaum yg itu aljlkajflkajfjklsfksfklsdfkslks 
4627, ibu kota pindah proyek lagi bisa korupsi lagi saya 
4628, siapa juga yang mau pindah kan yang pindah ibu kota nya bukan warga nya ini aku yang gagal paham apa emang beritanya seperti itu 
4629, jangn takut pindh ibu kota ibukota bole pindah kmunya jgn kmana ya hehe
4630,biar apa cena pindah ibu kota teh 
4631, aku gak suka ya kalo ibu kota di pindah ke kalimantan emangnya kenapa entar kamu gak bisa move on dari mantan kamu apa hubungannya julaeha kalimantan halo pak jokowi ibu kotanya pindah ke surabaya aja pak 
4632, malu lah ngemis minta pindah ibu kota negara pindah soalnya kotanya ga diurusin ya sama pemerintah daerah 
4633,emang nga butuh biaya berapa banyak lg hutan harus ditebang kalau dipindahkan dikalimantan msh bnyk yg lebih penting dr pada pindah ibu kota 
4634, saya setuju ibu kota pindah ke kalimantan agar tidak jawa sentris saya kira pemerintah diharapkan harus sangat ekstra hati hati dalam strategi dan pentahapannya mengingat pembiayaan pembangunannya jangan mengganggu stabilitis fiskal dan moneter 
4635, nek nyolo tak mampir ktp wes pindah ibu kota iki saiki masalah e 
4636,ibu kota pindah ke kalimantan cakep aku gk punya mantan hiyahiyahiya 
4637, pindah ibu kota hy pengalihan isu ketakmampuan pemerintah atasi ekonomi seret dan kecurangan pilpres
4638, hahaha ibu kota pindah anak mau ikut yg ada bikin sesak d t baru
4639,gini pang kalau ibu kota jadi pindah ke kalimantan teubah tu pang bahasa 
4640, jangan kegeeran broh kalian gak diajak kok tinggal saja di jakarta 
4641, cukup ibu kota aja yang pindah hati jangan
4642,eh gw seneng lho kalo ibu kota pindah jakarta lebih teratur mantap
4643,buka ibu kota nya di pindah tapi pemikiranya di rumbah 
4644,jangan pindah ibu kota pak pindah ke lain hati aja dia udah ga cinta 
4645,ga kebayang sih berapa banyak gunung yang di rusak untuk membuat bangunan pemerintah yang baru jikalau ibu kota benar di pindah 
4646,pembaca doa berharap ibu kota pindah ke kaltim ini profil kaltim 
4647, bos memindahkan ibu kota bukan berarti mengubah kalimantan jadi jawa kita sbg rakyat mesti supportif dan kritis agar pembangunannya tdk merusak seperti d jawa realita menyatakan ibu kota hrs pindah dr pulau jawa 
4648,ibu kota pindah tercatat dlm sejarah sebelum tuntas periode ke mantap to 
4649,urgensinya apa sih pindah ibu kota itu 
4650,pindah ibu kota ntar tbtb proyeknya mangkrak kesempatan korupsi merajalela 
4651,saya sebagai rakyat indonesia tidak masalah soal pindah ibu kota semua pasti ada sebab dan akibat saya mau fokus lulus kuliah dan cari kerja udah itu aja 
4652,kalimantan itu banyak hewan buas yg dilindungi serius aja ibu kota pindah trus mau bunuh habitat hewan disana 
4653, pindah ibu kota yg untung penjajah ibu kota baru akan dikuasai penjajah klu bangsa ini ingin selamat dr penguasaan penjajah lantik pemenang yg sah sang ultra nasionalis 
4654,dan penguasa lebih mementingkan pindah ibu kota 
4655, reklamasi gak boleh pindah ibu kota gak boleh bolehnya garap apa dong ci cuma nanya 
4656,mau mindahin ibu kota hanya gara ahok tdk jd gubernur lagi gara pulau reklamasi direbut kembali jd cari bancakan baru dgn dalih pindah ibu kota 
4657,anak teknik sipil teknik arsitektur teknik lingkungan teknik elektro teknik geologi mendengar ibu kota pindah ke kalimantan 
4658, mmg klo ibu kota pindah warganya kudu ikut pindah sama gubernur nya hihihi 
4659, knapa harus pindah ibu kota negara bukankah memerintah bsa dgn hp smartphone 
4660, klo jd pindah ibukota lbh baik indonesia dibagi trs hutang negara yg nanggung itu yg ngebet pindah ibu kota kelompoknya 
4661,ibu kota mau pindah hati aja mau pindah ke yang lain susah bgt ini 
4662,kalau pindah ibu kota kira kira konser ttp jakarta atau jd di kalimantan 
4663, jakarta jadi sepi kali ya yang ramai nanti malah kalimantan tapi biarpun ibu kota dipindah saya tetap di sini aja soalnya keluarga anak istri semua di sini nggak mau pindah saya kata dia 
4664,kementerian ppn bappenas mengundang semua generasi muda indonesia untuk berbagi ide harapan tentang ibu kota baru melalui lomba nasional artikel vlog harapanmu untuk ibu kota baru 
4665, pindah ibu kota itu bukan berarti bapak ibu pindah ke ibu kota baru wkwkwkwk 
4666,pindah ibu kota ini udh di kalkulasi blm si dari pindah pusat pemerintahannya smp dllnya hnggg
4667, pemindahan ibu kota bukan berarti semua yang ada di jakarta harus pindah bung yang jadi prioritas yang harus di pindahkan hanya bangunan penting u negara bukan semuanya seperti ancol untuk apa ancol pindah ke kalimantan gak guna 
4668, yg pindah ibu kota bukan warga nya
4669, hahaha lucu banget warga jkt ibu kota pindah dikira warganya juga ikut mo diboyong
4670,terus kalo ibu kota jadi pindah masalah negara bakalan selesai 
4671,ibu kota pindah ke kalimantan ngapain mending pindahin ke kalijodo aja biar politisi makin gampang ihik ihik 
4672, pada september jakarta jatuh ke tangan militer belanda sri sultan hamengku buwono ix dan paku alam viii selaku penguasa yogyakarta mengirim orang ke jakarta untuk membawa usulan agar ibu kota pindah ke yogyakarta 
4673, pada september jakarta jatuh ke tangan militer belanda sri sultan hamengku buwono ix dan paku alam viii selaku penguasa yogyakarta mengirim orang ke jakarta untuk membawa usulan agar ibu kota pindah ke yogyakarta 
4674,ibu kota akan pindah ke kalimantan begini prospek ciputra development ctra kontan 
4675,neng katanya ibu kota mau pindah ya iya mau pindah dia ngikut suaminya 
4676, berharap jadi topik diskusi selasa ini di ilc nya datuk dan ada live polling sekalian biar rakyat menentukan pindah atau ga nya ibu kota 
4677, hasutan siapa lagi ini pasti mereka yg tidak mau ibu kota pindah biasanya setan gundul yg suka nakut nakuti rakyat yg ngajak penduduk jakarta ikut pindah siapa pemindahan ibu kota warga jakarta kami betah tak mau pindah 
4678,kok ngebet mau pindah ibu kota bukannya memerintah bisa via smartphone kan cuman butuh beli biji paket data 
4679,setuju bgt utang negara aja udah bengkak lu pindah ibu kota mau gali utang segede apa lagi 
4680, ibu kota pindah ke kaliiiimantan tjie anak jkt yang bentar lagi berubah derajat jadi orang pelosok bogor itu kota belah mananya yah ーanak kaaaalimantand 
4681, pindah ibu kota ya cuma secara administratif dan perangkat pemerintahnya aja lha dikira warganya serta merta ikut pindah gitu kah 
4682,ga usah pindah ibu kota sekarang bisa lewat smartphone 
4683, ngopi bae slur kalo lau pada masih aja mikir pindah ibu kota gak selesai selesai memang pindah ibu kota jadi kontroversi kalo di terusin jadi putih rambut kalean gara gara mikir itu aja yok ngopi yokk 
4684, dipikirnya kalo ibu kota pindah artinya jakarta yg pindah wkwkwkwkwk serendah itu pikirannya pantes aja gampang dubodohi politisi 
4685,ibu kota udh pindah semoga infrastruktur dan fasilitas dan alam di kalimantan di pergunakan sebaik mungkin 
4686, pikirnya ibu kota pindah warganya juga pindah tuh itu namanya bedol desa jawa 
4687,mmg yg ngajak penduduk nya ikut pindah siapa ya sutrah betah in bareng wan abud ya pemindahan ibu kota warga jakarta kami betah tak mau pindah 
4688,emang bener ibu kota mau di pindah trus gedung mpr istana merdeka gedung mk ma monas mau buat apaan gudang kali kan jakarta mau di jadikan pusat perekonomian skalian ajah gedang buat gudang perekonomian 
4689,oso dukung ibu kota pindah ke kalimantan 
4690,ibu kota mau pindah aku masih gpp asal jangan kamu aja yang pindah aku ga bisa jauh dari kamu ngomongapasih
4691,ohh jadi inkigayo yang batalin pindah ibu kota 
4692,semoga dampak pindah ibu kota mampu mempercepat penanganan lingkungan hidup dan konflik agraria di kalimantan 
4693, ibu kota hanya pindah pusat perekonomian masih di jaka a gitu 
4694,dikira pindah ibu kota kayak pindah kontrakan koplak koplak bener bener koplak 
4695, ada aja yg gemblung ngomong gini 
4696, ga ush pusing klo nekat pindah ibukota indonesia dibagi trs yg bayar hutang negara yg ingin pindah ibukota pendukungnya yg tetap ibu kota di jakarta bebas dr hutang negara 
4697, literly kan gue kada bungas gitu lo kata kata yang pertama kali terdengar di telinga ketika ibu kota ingin di pindah ke kalimantan
4698, tunggu ini aja kd presiden nya ibu kota pindah ke lain tempat lagi 
4699,menteri ppn bappenas memegang peranan sangat penting di tanah air perencanaan pembangunan termasuk pindah ibu kota ada di tangannya yuk bantu usul nama 
4700,buat apa pidah ibu kota mending majukan kalimantan saja sia sia pindah ibukota cuma cukong yang bahagia 
4701, emang kalau misalkan ibu kota pindah itu warga dki mau dibawa juga kan engga
4702,mau ibu kota pindah juga tetep aja pusatnya kepadatan di jakarta ga mungkin macetnya bakalan ikut pindah ke kalimantan wkwkwk semuanya ga akan berubah kalau ibu kota pindah tetep sama hehehehe 
4703, jika ibu kota pindah kekalimantan siapa yg berani jamin kelestarian hutan kalimantan tukang ngibul gak boleh menjamin
4704, yg pnting kinerjaaa menaikkan bbm bbrp kali sok mau pindah ibu kota sok ngeluarin mobil nasional
4705,presiden jokowi ingin pindah ibu kota oso saya dukung 
4706,ibu kota harus pindah jangan 
4707,lagi rame bahas pindah ibu kota terus ibu kandung piye 
4708,woy togog loo mau pindah pindah aja warga dki tetep ibu kota 
4709, di kalimantan manapun terserah presiden saya mendukung kata oso 
4710, perlu juga kamu catat dng font paling besar di bold dan underline gak ada urusannya sama kau pindah atau gak pindah ibu kota negara gak butuh sampah spt kau paham 
4711,ini bukti kegagalan pemerintah dalam memberi pendidikan yang memadai 
4712,sebelum pindah ibu kota cek dulu punya duit kaga tong 
4713, pindah ibu kota awalnya pengalihan isyu akhirnya kebablasan
4714,cc mau pindah ibu kota tp g bisa mengendalikan karhutla ojo ngimpiiiii 
4715, rekan rekan warga twitter ikutan yuk dalam acara youth talks yuk pindah ibu kota di bappenas ri hari tanggal selasa agustus tempat kementrian ppn bappenas taman suropati pukul wib 
4716,pertanyaan siapa yg nyuruh emang di sini bahasa indonesia aja jelek semua gitu ato gimana 
4717, percuma pindah ibu kota jika utang negara malah bertambah aset negara malah tergadaikan ekonomi negara gini juga 
4718,setuju ibu kota pindah ke kalimantan pak presiden 
4719, pindah rumah aja ribet palagi pindah ibu kota 
4720, memindahkan ibu itu repot segala perlengkapan harus lengkap sutil wajan ulekan bapak aja yang pindah kota 
4721, ibu kota yg pindah bukan anda yg di suruh pindah caper cari perhatian 
4722,liputan dari tim liputan via cc 
4723, dikira pindahin ibu kota spt pindah kontrakan 
4724,kan yang pindah ibukota bukan orang ikut pindah juga 
4725, saya kwatir begitu ibu kota pindah ke kalimantan jakarta akan dikuasai aseng apa ini habya trik belaka ya saya orang bodoh hanya kwatir saja 
4726,proyek proyek bro presiden jokowi pastikan ibukota pindah ke kalimantan dlm pidato kenegaraan lewat 
4727,keadaan indonesia sedarurat apa harus pindah ibu kota jelaskan karena rakyat harus tau dana itu dari apbn duit rakyat 
4728,massa nya yg jutaan kan di jawa rasain lo ibu kota pindah ke borneo gak akan lagi bisa demo sepenuh thamrin hingga monas suruh turunin sekarang sebelum terlambat gitu ga pak 
4729, kaga ada urgensinya ko main pindah ibu kota hadehhh presiden koplak hutang tuh pikirin bayar jangan hanya pinter ngutang dan impor serta selfi dan ngevlog doangan
4730, ikuti youth talks yuk pindah ibu kota bersama menppn kepala bappenas bambang brodjonegoro staf ahli bidang sosial penanggulangan kemiskinan himawan hariyoga daftar di sampai jumpa di bappenas ya 
4731,keadilan hukum aja belom bener udah mau pindah ibu kota
4732,ibu kota gotong royong atau pindah 
4733,emil salim duitnya lebih baik buat pendidikan indonesia timur dibanding pindah ibu kota 
4734, berdoa saja semoga pindah ibu kota itu gk jadi karena justru hanya akan menambah hutang dan pastinya hutan di kalimantan akan habis juga 
4735,apakah ini saatx rakyat turun ke jalan batalkan pindah ibu kota karena mereka terlalu pongah untuk menyimak 
4736, pindah ibu kota nggak matching sama era dan tol langit yang pernah digaung kan 
4737, pindahan rmh tak sedikit uang yg keluar apalagi pindah ibu kota udh kere bnyk gaya cyn 
4738,zulhas contohkan brazil kali sukses pindah ibu kota negara 
4739,seharusnya ibu kota jangan di pindah di kalimantan tp di papua
4740,ntar ntar ini gimana ya maksudnya yang dipindah kan ibukotanya ya bukan orang orangnya kalo kalian pada betah mah terserah 
4741, belum pindah ibu kota aja hutan kalimantan udah banyak yg rusak apa lagi ibu kota pindah ke kalimantan jadi ancur hutanya 
4742, kasih tau alesannya knp harus pindah ibu kota trus emang klo di kalimantan apakah ktp dll harus di ganti jg buang uang mau brp banyak lg utang negara hei jkw mikiiirr klo ga bisa urus negara lebih baik mundur secara terhormat 
4743, dia baru mohon ijin kepada seluruh rakyat indonesia untuk pindah ibu kota kalo diijinin kalau nggak 
4744,aq lebih emosi ttg berita dan mau cerai daripada berita ibu kota ri mau pindah k kalimantan 
4745,ibu kota pindah ke kalimantan gemawan hendaknya konsultasi dengan rakyat setempat 
4746, pemindahan ibu kota pemerintahan ke kalimantan memang tidak bisa hanya memandang dari aspek phisik semata ttp proses kerja pemerintah juga harus pindah paradigma yaitu pemerintahan yg dengan kewenangannya bisa melayani dengan kepastian aturan waktu biaya dan kemudahan
4747,yakin ke kalimantan justru pertanyaan kalo ke kalimantan kenapa ga dulu waktu jaman pak suharto pasti ada alasan khusus kenapa almarhum suharto ga pengin pindah ke kalimantan kabupaten gunung mas dianggap paling ideal dari sisi ketersediaan lahan 
4748,lestarikan kalimantan jangan malah di ubah jadi ibu kota urgensi nya pindah ibukota apa narasi nya belom d jelaskan kepada rakyat apakah krn ancaman bencana trus yg pindah pejabatnya rakyat ibu kota dtnggalin tega nya 
4749, kalo milyar buat acara ga jelas aja pada mingkem mereka juga akan mingkem sola an triliyun buat pindah ibu kota
4750,ibu kota pindah ke kalimantan pemerintah diminta bicara dengan warga 
4751,pemerintah coret bukit soeharto ibu kota ri pindah ke sotek kalamanthana 
4752,tambah rame bapak mana bapak mana dimana di jonggol ibu kota pindah ke kalimantan nama jonggol muncul lagi 
4753, mang yg ngajakin pindah siapa gtuh oon akut diem bae lah kl pindah ibu kota takut pada ngikut ribet 
4754, yg takut ibu kota pindah adalah klian elit di jkt kmi rakyat malahan setuju ibu kota pindah jngan di pulau jawa trus yg dibangun 
4755, presiden jokowi pastikan ibukota pindah ke kalimantan dlm pidato kenegaraan rp t utk lahan hektare ha juta asn ibu kota pindah ke kalimantan nama jonggol muncul lagi lewat 
4756,wakakakakakaka lucu 
4757,pemindahan ibu kota warga jakarta kami betah tak mau pindah metro hmmm mungkin dalam pikiran beberapa warga ibu kota pindah warganya juga ikut dipindahkan 
4758, bbrp hari yg lalu ada kaum otak cekak yg nyinyir menghubungkan pemindahan ibu kota negara dg investasi infrastruktur proyek kereta cepat jkt bdg nyang dipindah ibu kota negara doank mbambaaaangg pusat bisnis mah kaga bakal pindah kemane mane 
4759,ibu kota pindah ke kalimantan nama jonggol muncul lagi via 
4760, rencana pindah ibu kota prabowo itu perjuangan gerindra sejak lama 
4761, warga jkrta aneh yak yg nyuruh mereka pindah jg sapa apa dlm otak mereka tu kl ibu kota pindah sbgai warga ibukota jg ikut pindah 
4762, sekali kali a is ke pedalaman kek coba coba praktek ibu kota pindah ke kalimantan
4763,gouublllok tanah dijonggol sdh dikuasai klan tertentu dah saran memindahkan ibu kota ke jonggol pun kembali digaungkan salah satunya oleh fadli zon lalu apa si kelebihannya jika ibu kota pindah ke jonggol 
4764, ada sengaja buat gitu biar ibu kota gak pindah sama saja memfitnah kalimantan itu 
4765,memang setiap lokasi pasti memiliki kelebihan untuk dijadikan ibu kota namun memindahkan ibu kota ke jonggol juga ada minusnya 
4766, ibu kota yg punya seluruh indonesia karna roki gerung mlarang warga selain jkrta mengkritik kebijkan gakbener jkrta jadi lbih baik pindah biar semua warga negra meraskan indahnya ibu kota kluar jkrta 
4767, yg pasti sebelum ibu kota pindah kekalimantan kan bro 
4768, jaman dulu koq di samain dgn jaman skrg zul zul otakmu kmn dl ibu kota pindah ke yogyakarta krn darurat itu jg cm sementara ga ada hubungannya dgn tulus atau ga itu spy tdk terdeteksi belanda 
4769,ganti presiden bukan solusi pindah ibu kota apalagi hanya satu solusi tunggal saat ini yaitu kembali pada sistem yg islami tegakkan khilafah terapkan al qur an dan as sunnah allahu akbar 
4770, saran dari rakyat jokowinya saja yang pindah ke kalimantan jangan bawak ibu kota 
4771, menurut saya ibu kota tidak akan bisa pindah sampai periode ke selesai kecuali dibikin istana sementara atau darurat 
4772,apa sih urgennya ibu kota negara pindah nanya 
4773, yg pindah ibu kota nya mbambang bukan warganya apalagi gubernurnya
4774,ketua mpr tak masalah ibu kota pindah asal ada kajian khusus 
4775,saran memindahkan ibu kota ke jonggol pun kembali digaungkan salah satunya oleh fadli zon lalu apa si kelebihannya jika ibu kota pindah ke jonggol 
4776, yg di pindah ibu kota gak ada urusan dg warga jkta jkt akan jd kampung udik apalagi di pimpin oleh gbner
4777, gara bekasi nih ibu kota negara jd pindah ke kalimantan 
4778, presiden negara lain tidak heboh mau pindah ibu kota negara kenapa pa jokowi getol mau pindah perlu dukungan infrastruktur yg habiskan banyak anggaran negara untuk pemerataan saya pikir tidak perlu pindah ibu kota negara bisa dengan anggaran proporsional untuk seluruh nkri 
4779,yang pindah ibu kota nya indonesia nya bukan jakarta nya udiiin 
4780,pulangn gun ibu kota aja udah mau pindah kesana 
4781,ibukota dipindah cara berpikir yg sesat lazimnya yg pindah itu orangnya bukan rumahnya mungkinkah warga jkt yg pindah semuanya tidak mungkinkah ibukotanya yg pindah tidak yg ada itu ibu kota mekar menjadi dua yakni ibukota pemerintahan ibukota perniagaan 
4782,varian dari strategi baku komunis desa mengepung ibu kota desain pindah ibukota itu dikelilingi basis yg sedang mudah dikooptasi menjadi dibawah pengaruh china lewat proyek ada bbrpa indikasi jelas lainnya bahwa pindahkan ibukota demi kepentingan china cukong properti 
